medium_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::scalar_tensor         0.00%      24.000us         0.00%      24.000us      24.000us             1  
                                          aten::random_         0.00%      21.000us         0.00%      21.000us      21.000us             1  
                                           aten::detach         0.00%       4.000us         0.00%      18.000us      18.000us             1  
                                                 detach         0.00%      14.000us         0.00%      14.000us      14.000us             1  
                                               aten::to         0.00%       9.000us         0.00%       9.000us       0.257us            35  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.888s
high_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         1.25%     134.335ms        99.72%       10.748s     632.211ms            17  
                                            aten::addmm        63.47%        6.841s        64.40%        6.941s      11.725ms           592  
                                           aten::linear         0.14%      15.137ms        57.48%        6.195s      15.487ms           400  
                     aten::_native_multi_head_attention         0.32%      34.298ms        36.32%        3.915s      20.390ms           192  
                                               aten::mm        20.43%        2.201s        20.43%        2.201s      11.466ms           192  
                                              aten::bmm         3.94%     424.753ms         3.94%     424.776ms       1.106ms           384  
                      aten::_transform_bias_rescale_qkv         1.99%     214.339ms         2.08%     224.685ms       1.170ms           192  
                                             aten::gelu         2.05%     221.237ms         2.05%     221.237ms       1.152ms           192  
                                         aten::_softmax         1.92%     206.727ms         1.92%     206.727ms       1.077ms           192  
                                            aten::copy_         1.14%     122.427ms         1.14%     122.427ms     156.157us           784  
                                           aten::conv2d         0.00%     151.000us         0.99%     106.848ms       6.678ms            16  
                                      aten::convolution         0.00%     257.000us         0.99%     106.697ms       6.669ms            16  
                                     aten::_convolution         0.00%     328.000us         0.99%     106.440ms       6.652ms            16  
                               aten::mkldnn_convolution         0.98%     105.724ms         0.98%     106.112ms       6.632ms            16  
                                              aten::add         0.79%      84.613ms         0.79%      84.613ms     211.532us           400  
                                       aten::layer_norm         0.02%       2.418ms         0.77%      83.252ms     208.130us           400  
                                aten::native_layer_norm         0.69%      74.154ms         0.75%      80.834ms     202.085us           400  
                                       aten::contiguous         0.02%       1.870ms         0.29%      31.420ms     163.646us           192  
                                            aten::clone         0.01%       1.405ms         0.29%      30.805ms     160.443us           192  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.27%      29.119ms         0.27%      29.511ms       1.736ms            17  
                                             aten::view         0.13%      13.875ms         0.13%      13.875ms       3.569us          3888  
                                            aten::empty         0.12%      13.412ms         0.12%      13.412ms       8.119us          1652  
                                                aten::t         0.03%       3.635ms         0.09%       9.942ms      12.681us           784  
                                        aten::transpose         0.05%       5.624ms         0.07%       7.682ms       7.871us           976  
                                          aten::reshape         0.02%       2.198ms         0.06%       6.677ms       8.517us           784  
                                           aten::narrow         0.03%       2.807ms         0.05%       5.837ms       9.600us           608  
                                              aten::cat         0.05%       5.215ms         0.05%       5.528ms     345.500us            16  
                                       aten::empty_like         0.01%       1.170ms         0.04%       4.116ms      21.438us           192  
                                       aten::as_strided         0.03%       3.541ms         0.03%       3.541ms       1.456us          2432  
                                            aten::slice         0.03%       2.981ms         0.03%       3.496ms       5.603us           624  
                                           aten::expand         0.03%       2.698ms         0.03%       3.064ms       5.039us           608  
                                          aten::permute         0.01%       1.592ms         0.02%       2.136ms      10.269us           208  
                                     aten::_unsafe_view         0.01%       1.165ms         0.01%       1.165ms       6.068us           192  
                                         aten::randperm         0.00%     394.000us         0.01%     785.000us     392.500us             2  
                                          aten::dropout         0.01%     723.000us         0.01%     723.000us       1.221us           592  
                                           aten::select         0.00%     189.000us         0.00%     193.000us      12.062us            16  
                                          aten::detach_         0.00%     110.000us         0.00%     144.000us       4.235us            34  
                                             aten::set_         0.00%     136.000us         0.00%     136.000us       4.000us            34  
                                      aten::as_strided_         0.00%     108.000us         0.00%     108.000us       6.750us            16  
                                     aten::resolve_conj         0.00%      69.000us         0.00%      69.000us       0.030us          2337  
                                                detach_         0.00%      37.000us         0.00%      37.000us       1.088us            34  
                                          aten::resize_         0.00%      28.000us         0.00%      28.000us       1.556us            18  
                                          aten::random_         0.00%      23.000us         0.00%      23.000us      23.000us             1  
                                    aten::scalar_tensor         0.00%      19.000us         0.00%      19.000us      19.000us             1  
                                           aten::detach         0.00%       5.000us         0.00%      16.000us      16.000us             1  
                                                 detach         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                             aten::item         0.00%       4.000us         0.00%       7.000us       7.000us             1  
                              aten::_local_scalar_dense         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                               aten::to         0.00%       3.000us         0.00%       3.000us       0.086us            35  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.778s
high_None_4_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         1.26%     135.761ms        99.72%       10.738s     631.664ms            17  
                                            aten::addmm        63.97%        6.889s        64.84%        6.982s      11.794ms           592  
                                           aten::linear         0.14%      15.493ms        58.04%        6.250s      15.625ms           400  
                     aten::_native_multi_head_attention         0.33%      35.402ms        36.12%        3.890s      20.260ms           192  
                                               aten::mm        20.49%        2.206s        20.49%        2.206s      11.490ms           192  
                                              aten::bmm         3.80%     409.705ms         3.80%     409.724ms       1.067ms           384  
                      aten::_transform_bias_rescale_qkv         2.04%     219.262ms         2.14%     230.567ms       1.201ms           192  
                                             aten::gelu         2.07%     222.499ms         2.07%     222.499ms       1.159ms           192  
                                         aten::_softmax         1.90%     204.449ms         1.90%     204.449ms       1.065ms           192  
                                            aten::copy_         1.02%     109.868ms         1.02%     109.868ms     140.138us           784  
                                           aten::conv2d         0.00%     139.000us         0.75%      80.979ms       5.061ms            16  
                                      aten::convolution         0.00%     249.000us         0.75%      80.840ms       5.053ms            16  
                                     aten::_convolution         0.00%     323.000us         0.75%      80.591ms       5.037ms            16  
                               aten::mkldnn_convolution         0.74%      79.929ms         0.75%      80.268ms       5.017ms            16  
                                       aten::layer_norm         0.02%       2.522ms         0.73%      78.442ms     196.105us           400  
                                aten::native_layer_norm         0.64%      69.186ms         0.71%      75.920ms     189.800us           400  
                                              aten::add         0.69%      73.792ms         0.69%      73.792ms     184.480us           400  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.28%      29.684ms         0.28%      30.103ms       1.771ms            17  
                                       aten::contiguous         0.01%     975.000us         0.24%      26.334ms     137.156us           192  
                                            aten::clone         0.01%       1.398ms         0.24%      25.775ms     134.245us           192  
                                             aten::view         0.13%      14.523ms         0.13%      14.523ms       3.735us          3888  
                                            aten::empty         0.13%      13.912ms         0.13%      13.912ms       8.421us          1652  
                                                aten::t         0.03%       3.706ms         0.09%       9.936ms      12.673us           784  
                                        aten::transpose         0.05%       5.563ms         0.07%       7.716ms       7.906us           976  
                                          aten::reshape         0.02%       2.168ms         0.07%       7.211ms       9.198us           784  
                                           aten::narrow         0.03%       2.909ms         0.06%       6.198ms      10.194us           608  
                                              aten::cat         0.05%       4.913ms         0.05%       5.183ms     323.938us            16  
                                       aten::empty_like         0.01%       1.122ms         0.04%       4.181ms      21.776us           192  
                                       aten::as_strided         0.04%       3.805ms         0.04%       3.805ms       1.565us          2432  
                                            aten::slice         0.03%       3.095ms         0.03%       3.720ms       5.962us           624  
                                           aten::expand         0.03%       2.749ms         0.03%       3.213ms       5.285us           608  
                                          aten::permute         0.01%       1.575ms         0.02%       2.095ms      10.072us           208  
                                     aten::_unsafe_view         0.01%       1.149ms         0.01%       1.149ms       5.984us           192  
                                          aten::dropout         0.01%     699.000us         0.01%     699.000us       1.181us           592  
                                         aten::randperm         0.00%     276.000us         0.01%     564.000us     282.000us             2  
                                           aten::select         0.00%     171.000us         0.00%     173.000us      10.812us            16  
                                          aten::detach_         0.00%     111.000us         0.00%     150.000us       4.412us            34  
                                             aten::set_         0.00%     140.000us         0.00%     140.000us       4.118us            34  
                                      aten::as_strided_         0.00%     106.000us         0.00%     106.000us       6.625us            16  
                                     aten::resolve_conj         0.00%      82.000us         0.00%      82.000us       0.035us          2337  
                                                detach_         0.00%      40.000us         0.00%      40.000us       1.176us            34  
                                          aten::resize_         0.00%      22.000us         0.00%      22.000us       1.222us            18  
                                    aten::scalar_tensor         0.00%      21.000us         0.00%      21.000us      21.000us             1  
                                           aten::detach         0.00%       5.000us         0.00%      21.000us      21.000us             1  
                                          aten::random_         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                                 detach         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                               aten::to         0.00%       7.000us         0.00%       7.000us       0.200us            35  
                                             aten::item         0.00%       3.000us         0.00%       6.000us       6.000us             1  
                              aten::_local_scalar_dense         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.769s
high_x86_1_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.65%     213.048ms        99.60%        8.020s     471.756ms            17  
                     aten::_native_multi_head_attention         0.40%      32.303ms        47.83%        3.852s      20.060ms           192  
                                      quantized::linear        40.90%        3.293s        41.03%        3.303s       8.258ms           400  
                                               aten::mm        27.17%        2.187s        27.17%        2.187s      11.393ms           192  
                                            aten::addmm         9.25%     744.595ms         9.59%     772.027ms       4.021ms           192  
                                              aten::bmm         5.06%     407.043ms         5.06%     407.060ms       1.060ms           384  
                                             aten::gelu         3.08%     247.658ms         3.08%     247.658ms       1.290ms           192  
                      aten::_transform_bias_rescale_qkv         2.45%     197.200ms         2.58%     207.930ms       1.083ms           192  
                                         aten::_softmax         2.55%     205.592ms         2.55%     205.592ms       1.071ms           192  
                                       aten::dequantize         1.19%      96.075ms         1.29%     104.021ms     158.569us           656  
                                  quantized::layer_norm         1.23%      99.301ms         1.27%     102.462ms     256.155us           400  
                              aten::quantize_per_tensor         1.07%      86.540ms         1.11%      89.380ms     192.629us           464  
                                         quantized::add         0.60%      48.431ms         0.67%      53.646ms     134.115us           400  
                                            aten::copy_         0.59%      47.336ms         0.59%      47.336ms     123.271us           384  
                                      quantized::conv2d         0.48%      38.523ms         0.52%      41.980ms       2.624ms            16  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.39%      31.268ms         0.39%      31.684ms       1.864ms            17  
                                       aten::contiguous         0.01%     628.000us         0.37%      29.719ms     142.880us           208  
                                            aten::clone         0.06%       4.623ms         0.36%      29.135ms     140.072us           208  
                                            aten::empty         0.23%      18.868ms         0.23%      18.868ms      12.646us          1492  
                                             aten::item         0.13%      10.262ms         0.15%      11.826ms       4.736us          2497  
                          aten::_empty_affine_quantized         0.12%       9.513ms         0.12%       9.513ms       7.722us          1232  
                                              aten::cat         0.03%       2.339ms         0.08%       6.691ms     209.094us            32  
                                           aten::narrow         0.04%       2.982ms         0.07%       5.493ms       9.536us           576  
                                                aten::t         0.02%       1.292ms         0.05%       4.219ms      10.987us           384  
                                        aten::transpose         0.04%       3.045ms         0.05%       4.169ms       7.238us           576  
                                       aten::empty_like         0.01%       1.157ms         0.05%       3.628ms      18.896us           192  
                                          aten::resize_         0.04%       3.579ms         0.04%       3.579ms       8.903us           402  
                                             aten::view         0.04%       3.554ms         0.04%       3.554ms       1.543us          2304  
                                            aten::slice         0.03%       2.422ms         0.04%       2.879ms       4.863us           592  
                                       aten::as_strided         0.03%       2.385ms         0.03%       2.385ms       1.491us          1600  
                                          aten::permute         0.02%       1.526ms         0.03%       2.149ms      10.332us           208  
                                          aten::reshape         0.02%       1.360ms         0.03%       2.015ms       5.037us           400  
                              aten::_local_scalar_dense         0.02%       1.659ms         0.02%       1.659ms       0.664us          2497  
                                           aten::expand         0.01%     992.000us         0.01%       1.127ms       5.418us           208  
                                     aten::_unsafe_view         0.01%       1.115ms         0.01%       1.115ms       5.807us           192  
                                          aten::qscheme         0.01%     655.000us         0.01%     655.000us       0.482us          1360  
                                     aten::q_zero_point         0.01%     641.000us         0.01%     641.000us       0.258us          2480  
                                          aten::q_scale         0.01%     635.000us         0.01%     635.000us       0.256us          2480  
                                         aten::randperm         0.00%     222.000us         0.01%     438.000us     219.000us             2  
                                           aten::select         0.00%     195.000us         0.00%     202.000us      12.625us            16  
                                          aten::detach_         0.00%     116.000us         0.00%     154.000us       4.529us            34  
                                             aten::set_         0.00%     150.000us         0.00%     150.000us       4.412us            34  
                                   aten::_reshape_alias         0.00%     146.000us         0.00%     146.000us       9.125us            16  
                                                detach_         0.00%      38.000us         0.00%      38.000us       1.118us            34  
                                     aten::resolve_conj         0.00%      36.000us         0.00%      36.000us       0.023us          1537  
                                          aten::random_         0.00%      23.000us         0.00%      23.000us      23.000us             1  
                                           aten::detach         0.00%       3.000us         0.00%      17.000us      17.000us             1  
                                                 detach         0.00%      14.000us         0.00%      14.000us      14.000us             1  
                                    aten::scalar_tensor         0.00%       9.000us         0.00%       9.000us       9.000us             1  
                                               aten::to         0.00%       6.000us         0.00%       6.000us       0.171us            35  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.052s
high_x86_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.57%     206.653ms        99.59%        7.995s     470.290ms            17  
                     aten::_native_multi_head_attention         0.42%      33.343ms        48.62%        3.903s      20.330ms           192  
                                      quantized::linear        40.35%        3.239s        40.46%        3.248s       8.121ms           400  
                                               aten::mm        27.47%        2.206s        27.47%        2.206s      11.487ms           192  
                                            aten::addmm         9.34%     749.903ms         9.63%     773.113ms       4.027ms           192  
                                              aten::bmm         5.13%     411.966ms         5.13%     411.991ms       1.073ms           384  
                                             aten::gelu         2.96%     237.688ms         2.96%     237.688ms       1.238ms           192  
                      aten::_transform_bias_rescale_qkv         2.74%     219.625ms         2.87%     230.330ms       1.200ms           192  
                                         aten::_softmax         2.64%     211.553ms         2.64%     211.553ms       1.102ms           192  
                                  quantized::layer_norm         1.21%      97.341ms         1.25%     100.130ms     250.325us           400  
                                       aten::dequantize         1.12%      89.588ms         1.21%      97.389ms     148.459us           656  
                              aten::quantize_per_tensor         1.06%      85.207ms         1.10%      88.074ms     189.815us           464  
                                         quantized::add         0.60%      48.554ms         0.67%      53.752ms     134.380us           400  
                                      quantized::conv2d         0.54%      43.733ms         0.59%      46.993ms       2.937ms            16  
                                            aten::copy_         0.51%      41.210ms         0.51%      41.210ms     107.318us           384  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.40%      32.446ms         0.41%      32.824ms       1.931ms            17  
                                       aten::contiguous         0.01%     929.000us         0.34%      27.631ms     132.841us           208  
                                            aten::clone         0.05%       4.387ms         0.34%      27.055ms     130.072us           208  
                                            aten::empty         0.22%      17.481ms         0.22%      17.481ms      11.716us          1492  
                                             aten::item         0.12%       9.542ms         0.14%      11.042ms       4.422us          2497  
                          aten::_empty_affine_quantized         0.11%       9.156ms         0.11%       9.156ms       7.432us          1232  
                                              aten::cat         0.04%       3.008ms         0.10%       8.098ms     253.062us            32  
                                           aten::narrow         0.04%       3.109ms         0.07%       5.798ms      10.066us           576  
                                        aten::transpose         0.04%       3.062ms         0.05%       4.154ms       7.212us           576  
                                                aten::t         0.02%       1.301ms         0.05%       4.151ms      10.810us           384  
                                             aten::view         0.05%       3.655ms         0.05%       3.655ms       1.586us          2304  
                                       aten::empty_like         0.01%       1.198ms         0.04%       3.540ms      18.438us           192  
                                          aten::resize_         0.04%       3.146ms         0.04%       3.146ms       7.826us           402  
                                            aten::slice         0.03%       2.551ms         0.04%       3.033ms       5.123us           592  
                                       aten::as_strided         0.03%       2.372ms         0.03%       2.372ms       1.482us          1600  
                                          aten::permute         0.02%       1.494ms         0.03%       2.114ms      10.163us           208  
                                          aten::reshape         0.02%       1.379ms         0.02%       1.980ms       4.950us           400  
                              aten::_local_scalar_dense         0.02%       1.576ms         0.02%       1.576ms       0.631us          2497  
                                           aten::expand         0.01%       1.039ms         0.01%       1.184ms       5.692us           208  
                                     aten::_unsafe_view         0.01%       1.134ms         0.01%       1.134ms       5.906us           192  
                                          aten::qscheme         0.01%     603.000us         0.01%     603.000us       0.443us          1360  
                                     aten::q_zero_point         0.01%     601.000us         0.01%     601.000us       0.242us          2480  
                                          aten::q_scale         0.01%     601.000us         0.01%     601.000us       0.242us          2480  
                                         aten::randperm         0.00%     274.000us         0.01%     562.000us     281.000us             2  
                                           aten::select         0.00%     193.000us         0.00%     199.000us      12.438us            16  
                                   aten::_reshape_alias         0.00%     171.000us         0.00%     171.000us      10.688us            16  
                                             aten::set_         0.00%     146.000us         0.00%     146.000us       4.294us            34  
                                          aten::detach_         0.00%     105.000us         0.00%     133.000us       3.912us            34  
                                     aten::resolve_conj         0.00%      38.000us         0.00%      38.000us       0.025us          1537  
                                                detach_         0.00%      30.000us         0.00%      30.000us       0.882us            34  
                                    aten::scalar_tensor         0.00%      23.000us         0.00%      23.000us      23.000us             1  
                                          aten::random_         0.00%      17.000us         0.00%      17.000us      17.000us             1  
                                           aten::detach         0.00%       5.000us         0.00%      16.000us      16.000us             1  
                                                 detach         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                               aten::to         0.00%       5.000us         0.00%       5.000us       0.143us            35  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.028s
high_fbgemm_1_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.53%     203.868ms        99.55%        8.009s     471.102ms            17  
                     aten::_native_multi_head_attention         0.42%      33.601ms        48.28%        3.884s      20.230ms           192  
                                      quantized::linear        40.79%        3.282s        40.91%        3.291s       8.228ms           400  
                                               aten::mm        27.23%        2.190s        27.23%        2.190s      11.408ms           192  
                                            aten::addmm         9.23%     742.632ms         9.50%     764.365ms       3.981ms           192  
                                              aten::bmm         5.12%     412.138ms         5.12%     412.155ms       1.073ms           384  
                                             aten::gelu         2.85%     229.074ms         2.85%     229.074ms       1.193ms           192  
                      aten::_transform_bias_rescale_qkv         2.70%     217.448ms         2.84%     228.276ms       1.189ms           192  
                                         aten::_softmax         2.67%     214.727ms         2.67%     214.727ms       1.118ms           192  
                                       aten::dequantize         1.20%      96.357ms         1.29%     104.121ms     158.721us           656  
                                  quantized::layer_norm         1.22%      98.423ms         1.26%     101.036ms     252.590us           400  
                              aten::quantize_per_tensor         1.06%      85.417ms         1.10%      88.337ms     190.381us           464  
                                         quantized::add         0.59%      47.794ms         0.66%      52.805ms     132.012us           400  
                                      quantized::conv2d         0.48%      38.724ms         0.52%      42.169ms       2.636ms            16  
                                            aten::copy_         0.52%      42.067ms         0.52%      42.067ms     109.549us           384  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.44%      35.310ms         0.44%      35.687ms       2.099ms            17  
                                       aten::contiguous         0.01%     919.000us         0.38%      30.574ms     146.990us           208  
                                            aten::clone         0.06%       4.605ms         0.37%      29.963ms     144.053us           208  
                                            aten::empty         0.23%      18.109ms         0.23%      18.109ms      12.137us          1492  
                                             aten::item         0.12%       9.296ms         0.13%      10.739ms       4.301us          2497  
                          aten::_empty_affine_quantized         0.11%       8.857ms         0.11%       8.857ms       7.189us          1232  
                                              aten::cat         0.03%       2.766ms         0.10%       8.300ms     259.375us            32  
                                           aten::narrow         0.04%       3.150ms         0.08%       6.067ms      10.533us           576  
                                                aten::t         0.02%       1.409ms         0.05%       4.221ms      10.992us           384  
                                        aten::transpose         0.04%       3.073ms         0.05%       4.143ms       7.193us           576  
                                       aten::empty_like         0.02%       1.267ms         0.05%       3.963ms      20.641us           192  
                                             aten::view         0.05%       3.813ms         0.05%       3.813ms       1.655us          2304  
                                            aten::slice         0.03%       2.730ms         0.04%       3.239ms       5.471us           592  
                                          aten::resize_         0.04%       3.146ms         0.04%       3.146ms       7.826us           402  
                                       aten::as_strided         0.03%       2.415ms         0.03%       2.415ms       1.509us          1600  
                                          aten::permute         0.02%       1.632ms         0.03%       2.251ms      10.822us           208  
                                          aten::reshape         0.02%       1.442ms         0.03%       2.053ms       5.133us           400  
                              aten::_local_scalar_dense         0.02%       1.528ms         0.02%       1.528ms       0.612us          2497  
                                           aten::expand         0.01%     981.000us         0.01%       1.167ms       5.611us           208  
                                     aten::_unsafe_view         0.01%       1.152ms         0.01%       1.152ms       6.000us           192  
                                          aten::q_scale         0.01%     619.000us         0.01%     619.000us       0.250us          2480  
                                          aten::qscheme         0.01%     602.000us         0.01%     602.000us       0.443us          1360  
                                     aten::q_zero_point         0.01%     580.000us         0.01%     580.000us       0.234us          2480  
                                         aten::randperm         0.00%     257.000us         0.01%     540.000us     270.000us             2  
                                           aten::select         0.00%     179.000us         0.00%     183.000us      11.438us            16  
                                   aten::_reshape_alias         0.00%     152.000us         0.00%     152.000us       9.500us            16  
                                          aten::detach_         0.00%     119.000us         0.00%     149.000us       4.382us            34  
                                             aten::set_         0.00%     130.000us         0.00%     130.000us       3.824us            34  
                                     aten::resolve_conj         0.00%      33.000us         0.00%      33.000us       0.021us          1537  
                                                detach_         0.00%      32.000us         0.00%      32.000us       0.941us            34  
                                    aten::scalar_tensor         0.00%      28.000us         0.00%      28.000us      28.000us             1  
                                           aten::detach         0.00%       5.000us         0.00%      22.000us      22.000us             1  
                                          aten::random_         0.00%      18.000us         0.00%      18.000us      18.000us             1  
                                                 detach         0.00%      17.000us         0.00%      17.000us      17.000us             1  
                                               aten::to         0.00%       8.000us         0.00%       8.000us       0.229us            35  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.045s
high_fbgemm_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.57%     206.648ms        99.56%        8.018s     471.631ms            17  
                     aten::_native_multi_head_attention         0.41%      32.649ms        48.14%        3.877s      20.192ms           192  
                                      quantized::linear        40.94%        3.297s        41.05%        3.305s       8.264ms           400  
                                               aten::mm        27.27%        2.196s        27.27%        2.196s      11.436ms           192  
                                            aten::addmm         9.21%     741.527ms         9.45%     760.982ms       3.963ms           192  
                                              aten::bmm         5.16%     415.336ms         5.16%     415.350ms       1.082ms           384  
                      aten::_transform_bias_rescale_qkv         2.69%     216.733ms         2.82%     227.240ms       1.184ms           192  
                                             aten::gelu         2.81%     226.602ms         2.81%     226.602ms       1.180ms           192  
                                         aten::_softmax         2.57%     206.701ms         2.57%     206.701ms       1.077ms           192  
                                  quantized::layer_norm         1.22%      98.473ms         1.25%     101.044ms     252.610us           400  
                                       aten::dequantize         1.13%      91.029ms         1.22%      98.434ms     150.052us           656  
                              aten::quantize_per_tensor         1.06%      85.727ms         1.10%      88.550ms     190.841us           464  
                                         quantized::add         0.61%      49.398ms         0.68%      54.581ms     136.452us           400  
                                      quantized::conv2d         0.52%      42.219ms         0.58%      46.367ms       2.898ms            16  
                                            aten::copy_         0.48%      38.489ms         0.48%      38.489ms     100.232us           384  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.43%      34.358ms         0.43%      34.735ms       2.043ms            17  
                                       aten::contiguous         0.01%       1.055ms         0.36%      29.033ms     139.582us           208  
                                            aten::clone         0.06%       5.096ms         0.35%      28.425ms     136.659us           208  
                                            aten::empty         0.21%      16.731ms         0.21%      16.731ms      11.214us          1492  
                                             aten::item         0.11%       9.190ms         0.13%      10.705ms       4.287us          2497  
                                              aten::cat         0.05%       3.750ms         0.13%      10.476ms     327.375us            32  
                          aten::_empty_affine_quantized         0.11%       8.733ms         0.11%       8.733ms       7.088us          1232  
                                           aten::narrow         0.04%       2.963ms         0.07%       5.683ms       9.866us           576  
                                        aten::transpose         0.04%       3.098ms         0.05%       4.351ms       7.554us           576  
                                                aten::t         0.02%       1.293ms         0.05%       4.309ms      11.221us           384  
                                             aten::view         0.05%       3.762ms         0.05%       3.762ms       1.633us          2304  
                                          aten::resize_         0.04%       3.299ms         0.04%       3.299ms       8.206us           402  
                                       aten::empty_like         0.01%       1.121ms         0.04%       3.213ms      16.734us           192  
                                            aten::slice         0.03%       2.593ms         0.04%       3.078ms       5.199us           592  
                                       aten::as_strided         0.03%       2.495ms         0.03%       2.495ms       1.559us          1600  
                                          aten::reshape         0.02%       1.400ms         0.03%       2.118ms       5.295us           400  
                                          aten::permute         0.02%       1.486ms         0.03%       2.054ms       9.875us           208  
                              aten::_local_scalar_dense         0.02%       1.588ms         0.02%       1.588ms       0.636us          2497  
                                           aten::expand         0.01%       1.000ms         0.01%       1.165ms       5.601us           208  
                                     aten::_unsafe_view         0.01%       1.127ms         0.01%       1.127ms       5.870us           192  
                                          aten::q_scale         0.01%     641.000us         0.01%     641.000us       0.258us          2480  
                                          aten::qscheme         0.01%     613.000us         0.01%     613.000us       0.451us          1360  
                                     aten::q_zero_point         0.01%     603.000us         0.01%     603.000us       0.243us          2480  
                                         aten::randperm         0.00%     234.000us         0.01%     464.000us     232.000us             2  
                                           aten::select         0.00%     192.000us         0.00%     195.000us      12.188us            16  
                                   aten::_reshape_alias         0.00%     182.000us         0.00%     182.000us      11.375us            16  
                                             aten::set_         0.00%     138.000us         0.00%     138.000us       4.059us            34  
                                          aten::detach_         0.00%      97.000us         0.00%     134.000us       3.941us            34  
                                                detach_         0.00%      37.000us         0.00%      37.000us       1.088us            34  
                                     aten::resolve_conj         0.00%      31.000us         0.00%      31.000us       0.020us          1537  
                                          aten::random_         0.00%      28.000us         0.00%      28.000us      28.000us             1  
                                           aten::detach         0.00%       4.000us         0.00%      17.000us      17.000us             1  
                                    aten::scalar_tensor         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                                 detach         0.00%      13.000us         0.00%      13.000us      13.000us             1  
                                               aten::to         0.00%       5.000us         0.00%       5.000us       0.143us            35  
